,GeneID,Function,OrganismID
0,-,HmcA,Desulfobacterales_sp._PC51MH44
1,OEU67172.1 (atypical),HmcA,Desulfobacterales_sp._S5133MH16
2,-,HmcA,Desulfosarcina_sp._BuS5
3,2512526948,HmcA,Desulfococcus_biacutus_KMRActS
4,2502442176,HmcA,Desulfonema_limicola_Jadebusen_DSM_2076
5,-,HmcA,Desulfosarcina_variabilis_Montpellier
6,2524232589,HmcA,Desulfatirhabdium_butyrativorans_DSM_18734
7,-,HmcA,Desulfobacter_postgatei_2ac9
8,2524511883,HmcA,Desulfobacula_toluolica_Tol2
9,2523439073,HmcA,Desulforegula_conservatrix_Mb1Pa_DSM_13527
10,2503698079,HmcA,Desulfococcus_oleovorans_Hxd3
11,-,HmcA,Desulfatibacillum_aliphaticivorans_DSM_15576_
12,-,HmcA,Desulfatibacillum_alkenivorans_DSM_16219
13,-,HmcA,Desulfobacterium_anilini_DSM_4660
14,-,HmcA,Desulfobacca_acetoxidans_ASRB2_DSM_11109
15,-,HmcA,Desulfocapsa_sulfexigens_DSM_10523
16,-,HmcA,Desulfobulbus_propionicus_1pr3_DSM_2032
17,-,HmcA,Desulfobulbus_elongatus_DSM_2908
18,-,HmcA,Desulfobulbus_mediterraneus_DSM_13871
19,2541189014,HmcA,Desulfocurvus_vexinensis_DSM_17965
20,2646273964,HmcA,Desulfovibrio_vulgaris_RCH1
21,2595078332,HmcA,Desulfonatronum_thioautotrophicum_ASO4_1
22,2524273893,HmcA,Desulfomicrobium_escambiense_DSM_10707
23,-,HmcA,Shewanella_oneidensis_MR_1
24,-,HmcA,Desulfobacterales_sp._S3730MH5_(Seep_SRB1c)
25,-,HmcA,Desulfobacterales_sp._C00003060_(Seep_SRB1c)
26,-,HmcA,Desulfobacterales_sp._S5133MH4_(Seep_SRB1c)
27,-,HmcA,Desulfobacterales_sp._S7086C20_(Seep_SRB1c)
28,,HmcA,Desulfococcus_sp._C00003104
29,-,HmcA,Desulfococcus_sp._C00003106
30,-,HmcA,Desulfococcus_sp._Cons3730e01UFb1
31,-,HmcA,Desulfobulbaceae_bacterium_C00003063
32,-,HmcA,Desulfobulbaceae_bacterium_S3730MH12
33,-,HmcA,Desulfobulbaceae_bacterium_S5133MH15
34,-,HmcA,E20 SRB2
35,-,HmcA,G37 SRB2
