Rxn	WT_20nM/5uM	pdxBJ_20nM/5uM	pdxBJ/WT_20nM
12PPDRtex	-0.903871103	-0.523639415	0.429627306
12PPDRtex	0.470065903	-1.366947595	-1.360493472
12PPDRtex	-0.472060634	0.327076275	1.148617799
12PPDRtex	0.180532993	-0.433848486	-1.481278919
12PPDStex	-0.903871103	-0.523639415	0.429627306
12PPDStex	0.470065903	-1.366947595	-1.360493472
12PPDStex	-0.472060634	0.327076275	1.148617799
12PPDStex	0.180532993	-0.433848486	-1.481278919
13PPDH2	0.505197185	-2.458422518	-4.454538563
14GLUCANabcpp	0.365676264	0.107107808	-0.18274869
14GLUCANabcpp	0.571070056	-0.003811895	-0.333312751
14GLUCANabcpp	0.582496253	-0.971483584	-1.562916513
14GLUCANabcpp	0.419301485	-0.969497413	-1.45376673
14GLUCANtexi	0.692777847	-0.758056756	-1.392763349
23CAMPtex	-0.903871103	-0.523639415	0.429627306
23CAMPtex	0.470065903	-1.366947595	-1.360493472
23CAMPtex	-0.472060634	0.327076275	1.148617799
23CAMPtex	0.180532993	-0.433848486	-1.481278919
23CCMPtex	-0.903871103	-0.523639415	0.429627306
23CCMPtex	0.470065903	-1.366947595	-1.360493472
23CCMPtex	-0.472060634	0.327076275	1.148617799
23CCMPtex	0.180532993	-0.433848486	-1.481278919
23CGMPtex	-0.903871103	-0.523639415	0.429627306
23CGMPtex	0.470065903	-1.366947595	-1.360493472
23CGMPtex	-0.472060634	0.327076275	1.148617799
23CGMPtex	0.180532993	-0.433848486	-1.481278919
23CUMPtex	-0.903871103	-0.523639415	0.429627306
23CUMPtex	0.470065903	-1.366947595	-1.360493472
23CUMPtex	-0.472060634	0.327076275	1.148617799
23CUMPtex	0.180532993	-0.433848486	-1.481278919
23DAPPAtex	-0.903871103	-0.523639415	0.429627306
23DAPPAtex	0.470065903	-1.366947595	-1.360493472
23DAPPAtex	-0.472060634	0.327076275	1.148617799
23DAPPAtex	0.180532993	-0.433848486	-1.481278919
23DOGULNt4pp	-3.439979969	-0.013942945	1.479614394
23DOGULNt4pp	-2.45507434	0.147694613	0.901537291
23DOGULNt4pp	-2.738358448	-0.843918706	0.416425119
23PDE2pp	0.307535723	-0.007158276	-0.011436802
23PDE4pp	0.307535723	-0.007158276	-0.011436802
23PDE7pp	0.307535723	-0.007158276	-0.011436802
23PDE9pp	0.307535723	-0.007158276	-0.011436802
26DAHtex	-0.903871103	-0.523639415	0.429627306
26DAHtex	0.470065903	-1.366947595	-1.360493472
26DAHtex	-0.472060634	0.327076275	1.148617799
26DAHtex	0.180532993	-0.433848486	-1.481278919
2AGPA120tipp	0.001528932	-0.294963982	-0.034199055
2AGPA140tipp	0.001528932	-0.294963982	-0.034199055
2AGPA141tipp	0.001528932	-0.294963982	-0.034199055
2AGPA160tipp	0.001528932	-0.294963982	-0.034199055
2AGPA161tipp	0.001528932	-0.294963982	-0.034199055
2AGPA180tipp	0.001528932	-0.294963982	-0.034199055
2AGPA181tipp	0.001528932	-0.294963982	-0.034199055
2AGPE120tipp	0.001528932	-0.294963982	-0.034199055
2AGPE140tipp	0.001528932	-0.294963982	-0.034199055
2AGPE141tipp	0.001528932	-0.294963982	-0.034199055
2AGPE160tipp	0.001528932	-0.294963982	-0.034199055
2AGPE161tipp	0.001528932	-0.294963982	-0.034199055
2AGPE180tipp	0.001528932	-0.294963982	-0.034199055
2AGPE181tipp	0.001528932	-0.294963982	-0.034199055
2AGPEAT120	0.33622847	-0.265650145	-0.271772237
2AGPEAT140	0.33622847	-0.265650145	-0.271772237
2AGPEAT141	0.33622847	-0.265650145	-0.271772237
2AGPEAT160	0.33622847	-0.265650145	-0.271772237
2AGPEAT161	0.33622847	-0.265650145	-0.271772237
2AGPEAT180	0.33622847	-0.265650145	-0.271772237
2AGPEAT181	0.33622847	-0.265650145	-0.271772237
2AGPG120tipp	0.001528932	-0.294963982	-0.034199055
2AGPG140tipp	0.001528932	-0.294963982	-0.034199055
2AGPG141tipp	0.001528932	-0.294963982	-0.034199055
2AGPG160tipp	0.001528932	-0.294963982	-0.034199055
2AGPG161tipp	0.001528932	-0.294963982	-0.034199055
2AGPG180tipp	0.001528932	-0.294963982	-0.034199055
2AGPG181tipp	0.001528932	-0.294963982	-0.034199055
2AGPGAT120	0.33622847	-0.265650145	-0.271772237
2AGPGAT140	0.33622847	-0.265650145	-0.271772237
2AGPGAT141	0.33622847	-0.265650145	-0.271772237
2AGPGAT160	0.33622847	-0.265650145	-0.271772237
2AGPGAT161	0.33622847	-0.265650145	-0.271772237
2AGPGAT180	0.33622847	-0.265650145	-0.271772237
2AGPGAT181	0.33622847	-0.265650145	-0.271772237
2DDARAA	-0.280367762	-0.082386728	-0.880547958
2DDARAA	-0.064592162	0.189158351	0.327462404
2DGLCptspp	0.299921756	0.133954307	-0.830544155
