,Mature_leaf
rxn00206_d0,0.0
rxn00206_m0,0.0
rxn00206_x0,0.0
rxn00208_c0,0.0
rxn00208_d0,0.0
rxn00209_c0,0.0
rxn00209_d0,0.0
rxn00211_c0,0.006603590165212402
rxn00213_c0,0.0
rxn00213_d0,0.0
rxn00214_c0,-0.006504318532577109
rxn00215_c0,0.0
rxn00216_c0,0.0
rxn00216_d0,0.0
rxn00216_m0,0.0
rxn00224_c0,0.0
rxn00224_d0,0.0
rxn00237_c0,0.0
rxn00237_d0,0.0
rxn00237_m0,0.0
rxn00237_n0,0.0
rxn00237_x0,0.0
rxn00239_c0,0.0002599134180259405
rxn00241_c0,0.0
rxn00241_d0,0.0
rxn00241_g0,0.0
rxn00241_m0,0.0
rxn00241_n0,0.0
rxn00241_r0,0.0
rxn00241_w0,0.0
rxn00241_x0,0.0
rxn00247_c0,0.0
rxn00247_n0,0.0
rxn00248_c0,0.0
rxn00248_d0,0.0
rxn00248_m0,0.005333333
rxn00248_x0,0.0007857443888484282
rxn00249_d0,0.0
rxn00256_m0,-0.00571416818154127
rxn00256_x0,0.0
rxn00257_c0,0.0
rxn00260_c0,-0.0013676349242436002
rxn00260_d0,-0.0004201588169385575
rxn00260_m0,0.00038083518154127056
rxn00260_x0,0.0008430904918587294
rxn00272_d0,1.5989582500000004e-07
rxn00272_m0,1.5989582500000004e-07
rxn00272_x0,0.0013430904918587294
rxn00275_d0,1.5989582500000004e-07
rxn00275_m0,0.0
rxn00275_x0,0.0005
rxn00285_m0,-0.005333333
rxn00293_c0,0.0
rxn00299_c0,9.59374950000053e-07
rxn00300_c0,2.23854155e-06
rxn00300_d0,0.0
rxn00303_c0,0.0
rxn00303_d0,0.0
rxn00313_d0,8.89071953663999e-05
rxn00322_c0,0.0
rxn00324_c0,-9.904062504999995e-05
rxn00324_d0,0.0
rxn00327_r0,0.0
rxn00330_c0,0.0
rxn00333_d0,0.0
rxn00333_x0,0.0005
rxn00337_d0,0.00026324930879728745
rxn00338_c0,1.087291610000346e-06
rxn00338_d0,0.0
rxn00342_c0,0.0
rxn00343_m0,-1.4362530630399953e-05
rxn00350_c0,0.0
rxn00350_v0,0.0
rxn00351_c0,0.0
rxn00351_d0,0.0
rxn00355_c0,0.0
rxn00361_c0,0.0
rxn00361_d0,0.0
rxn00363_c0,2.5145428054730514e-06
rxn00364_c0,0.0
rxn00366_c0,0.0
rxn00366_g0,0.0
rxn00371_c0,0.0
rxn00371_m0,0.0
rxn00377_c0,0.00015543999284681992
rxn00379_c0,0.0
rxn00379_d0,0.00011947000000000002
rxn00379_n0,0.0
rxn00380_x0,0.0
rxn00381_d0,0.0
rxn00381_x0,0.0
rxn00383_c0,0.0
rxn00383_x0,0.0
rxn00391_c0,0.0
rxn00391_d0,0.0
rxn00392_c0,2.23854155e-06
rxn00392_d0,0.0
rxn00394_d0,0.0
rxn00394_m0,-2.679782802399996e-05
rxn00401_c0,0.0
rxn00401_d0,0.0
rxn00405_c0,0.0
rxn00405_d0,0.0
rxn00408_c0,0.0
rxn00408_g0,0.0
rxn00409_c0,6.037618248692586e-05
rxn00409_d0,0.0
rxn00409_m0,0.0
rxn00409_n0,0.0
rxn00409_x0,0.0
rxn00412_c0,0.0
rxn00414_d0,7.5075e-05
rxn00416_c0,3.75e-05
rxn00420_d0,0.000203775
rxn00423_c0,2.95e-05
rxn00423_d0,2.95e-05
rxn00423_m0,1.47e-06
rxn00424_x0,-0.0005
rxn00425_c0,0.0
rxn00433_c0,0.0
rxn00437_c0,0.0
rxn00439_c0,0.0
rxn00440_c0,1.5989582500000004e-07
rxn00444_c0,0.0
rxn00451_c0,0.0
rxn00452_c0,0.0
rxn00454_c0,-9.920052087499995e-05
rxn00456_c0,0.0
rxn00459_c0,0.002125
rxn00459_d0,0.027061044361860295
rxn00459_n0,0.0
rxn00467_m0,-2.679782802399996e-05
rxn00469_c0,0.0
rxn00474_d0,2.145e-05
rxn00483_c0,0.0
rxn00484_c0,0.0
rxn00490_d0,5.897072358482502e-05
rxn00491_c0,0.0
rxn00493_c0,0.0
rxn00493_d0,-0.0010106696665017748
rxn00493_m0,0.0
rxn00493_x0,0.0
rxn00495_c0,0.001001107760325
rxn00498_c0,0.0
rxn00498_r0,0.0
rxn00499_c0,-0.000249437487
rxn00503_m0,-8.890719536639989e-05
rxn00506_c0,-0.0004355015224940624
rxn00506_d0,0.0
rxn00506_m0,0.0
rxn00508_c0,0.0
rxn00508_m0,0.0
rxn00510_c0,0.0
rxn00511_c0,0.0
rxn00526_d0,4.5627552830349954e-05
rxn00527_c0,0.0
rxn00527_d0,2.4783852875e-07
rxn00527_m0,0.0
rxn00527_x0,0.0
rxn00529_c0,0.0
rxn00533_c0,4.796874750000001e-07
rxn00533_d0,0.016457641138448675
rxn00541_c0,-0.00043598120996906237
rxn00543_c0,0.0
rxn00562_c0,0.0
rxn00571_c0,-0.001541667
rxn00578_c0,0.0
rxn00604_c0,1.2630833240000007e-05
rxn00604_d0,0.0001625
rxn00605_c0,0.0
rxn00605_m0,0.0
rxn00611_c0,-0.0014550520075
rxn00611_d0,0.0
rxn00612_d0,0.0
rxn00615_c0,0.0
rxn00616_m0,0.0
rxn00640_c0,0.0
rxn00641_c0,0.0
rxn00642_c0,0.0
rxn00643_c0,0.0
rxn00646_d0,0.0
rxn00649_c0,2.95e-05
rxn00649_d0,2.95e-05
rxn00649_m0,1.47e-06
rxn00650_c0,0.0
rxn00653_c0,0.0
rxn00653_x0,0.0
rxn00654_c0,1.8164165720000098e-06
rxn00676_c0,0.0
rxn00686_c0,-0.00025793617116210674
rxn00686_m0,-9.59374950000053e-07
rxn00689_c0,0.0
rxn00689_d0,0.0
rxn00689_m0,0.0
rxn00690_c0,0.0
rxn00692_c0,-0.000126019
rxn00692_d0,-8.215429979127004e-05
rxn00692_m0,-0.0002612932395271299
rxn00693_c0,2.96e-05
rxn00693_d0,4.640784445634992e-05
rxn00693_x0,0.0
rxn00695_d0,0.0
rxn00697_c0,0.0
rxn00697_d0,0.0
rxn00700_c0,0.0
rxn00701_c0,0.0
rxn00704_c0,0.0
rxn00704_d0,0.0
rxn00708_c0,0.0
rxn00709_c0,6.981262334730415e-07
rxn00709_d0,0.0
rxn00710_c0,0.0
rxn00711_d0,0.0
rxn00713_c0,0.0
rxn00713_d0,0.0
rxn00720_d0,-1.8164165720000098e-06
rxn00727_d0,2.2226798841599976e-05
rxn00737_d0,0.00047500828357720004
rxn00747_c0,0.002125
rxn00747_d0,0.010320505155299451
rxn00747_m0,0.0
rxn00748_c0,0.0007686120210002936
rxn00751_c0,0.0
rxn00770_c0,0.006354433044551806
rxn00770_d0,0.00013941363430707005
rxn00775_c0,0.0
rxn00776_c0,0.0
rxn00777_c0,-6.235375014e-05
rxn00777_d0,0.010015942210127849
rxn00777_n0,0.0
rxn00779_c0,9.815236186029282e-05
rxn00781_c0,-0.002125
rxn00781_d0,0.0
rxn00781_m0,0.0
rxn00781_n0,0.0
rxn00782_d0,-0.031916667
rxn00789_d0,-3.51924314992e-05
rxn00790_d0,-8.199440396627005e-05
rxn00791_d0,-2.2226798841599976e-05
rxn00797_c0,1.8164165720000098e-06
rxn00799_m0,-0.005333333
rxn00800_d0,0.0
rxn00802_d0,7.5075e-05
rxn00806_c0,0.0
rxn00806_d0,-0.00015929205836479992
rxn00806_m0,0.0
rxn00821_c0,0.0
rxn00821_d0,-0.00011947000000000002
rxn00821_x0,0.0
rxn00829_c0,7.3910035532769515e-06
rxn00829_x0,0.0
rxn00830_c0,3.45756625827695e-06
rxn00830_d0,-0.00023231258578264988
rxn00830_m0,0.0
rxn00831_c0,0.0
rxn00832_d0,-0.00011702693964047006
rxn00834_c0,0.00031990070995594014
rxn00836_c0,-5.9987291929999644e-05
rxn00838_d0,0.0
rxn00839_c0,0.0
rxn00839_d0,0.0
rxn00839_m0,0.0
rxn00839_n0,0.0
rxn00839_x0,0.0
rxn00852_c0,0.0
rxn00853_c0,0.0
rxn00858_d0,0.0
rxn00858_m0,0.0
rxn00863_d0,3.51924314992e-05
rxn00873_c0,0.0
rxn00873_d0,0.0
rxn00873_r0,0.0
rxn00873_x0,0.0
rxn00880_c0,0.0
rxn00880_n0,0.0
rxn00881_d0,0.0
rxn00883_d0,0.0
rxn00888_c0,-0.0010431176697344154
rxn00899_d0,0.0
rxn00899_m0,0.0
rxn00902_d0,-0.00015929205836479992
rxn00903_c0,1.8164165720000098e-06
rxn00903_d0,-0.00011943322710879994
rxn00903_m0,0.0
rxn00907_c0,3.197916500000001e-07
rxn00907_d0,0.0
rxn00907_m0,3.590635115992012e-05
rxn00908_m0,5.646340360679683e-05
rxn00910_c0,-0.00010576774028134991
rxn00912_c0,0.0
rxn00912_m0,0.0
rxn00913_c0,5.9987291929999644e-05
rxn00914_c0,0.0
rxn00915_c0,0.0
rxn00917_c0,0.00031990070995594014
rxn00927_w0,0.0
rxn00929_c0,0.0
rxn00929_d0,5.9e-05
rxn00931_c0,0.0
rxn00931_d0,-5.9e-05
rxn00937_m0,-1.4362530630399953e-05
rxn00938_c0,0.006293358461011807
rxn00940_c0,0.006293198565186807
rxn00942_c0,0.0
rxn00943_x0,0.0
rxn00947_d0,0.0
rxn00947_r0,0.0
rxn00947_x0,0.0
rxn00948_r0,0.0
rxn00965_c0,1.5989582500000004e-07
rxn00974_c0,0.00036004872429127026
rxn00974_d0,0.0
rxn00974_m0,0.005333333
rxn00979_c0,9.59374950000053e-07
rxn00980_c0,0.0
rxn00980_d0,0.0004
rxn00980_n0,0.0
rxn00991_m0,0.0
rxn00993_c0,0.0
rxn01000_d0,0.0010106696665017748
rxn01003_c0,0.0
rxn01005_c0,0.0
rxn01007_c0,0.006603590165212402
rxn01008_c0,0.0
rxn01008_g0,0.0
rxn01009_c0,0.0
rxn01011_c0,0.0
rxn01011_d0,-0.004312501576003454
rxn01011_x0,0.0005
rxn01013_c0,0.0
rxn01013_d0,0.004312501576003454
rxn01018_d0,0.0
rxn01019_d0,7.5075e-05
rxn01021_c0,0.0
rxn01028_c0,0.0
rxn01029_c0,0.0
rxn01032_c0,0.0
rxn01035_c0,0.0003750315224940624
rxn01035_d0,0.0
rxn01035_x0,0.0
rxn01069_d0,0.0001279342689745376
rxn01071_c0,0.0
rxn01074_c0,0.0
rxn01075_c0,0.0
rxn01075_g0,0.0
rxn01076_c0,0.0
rxn01099_c0,0.0005
rxn01100_c0,0.002125
rxn01100_d0,0.031916667
rxn01101_d0,0.000203775
rxn01102_d0,0.0
rxn01106_c0,0.002125
rxn01106_d0,-0.031311044361860295
rxn01107_c0,0.0
rxn01107_d0,0.0
rxn01107_m0,0.0
rxn01107_x0,0.0
rxn01111_d0,0.032116667
rxn01115_c0,3.341541662e-05
rxn01115_d0,0.000325
rxn01115_m0,0.0
rxn01116_d0,-0.021450724789872144
rxn01117_c0,0.0
rxn01127_c0,0.0
rxn01127_n0,0.0
rxn01169_c0,0.0
rxn01169_m0,0.0
rxn01171_c0,-0.0017769476304479864
rxn01179_c0,0.0
rxn01179_n0,0.0
rxn01179_r0,0.0
rxn01181_c0,0.0
rxn01182_c0,1.5989582500000004e-07
rxn01199_c0,0.0
rxn01199_d0,0.0
rxn01200_d0,0.01015535584443492
rxn01201_c0,0.0
rxn01204_c0,0.0
rxn01207_m0,0.0
rxn01208_c0,0.0
rxn01208_d0,-0.00015929205836479992
rxn01208_m0,0.0
rxn01208_x0,0.0
rxn01211_c0,0.0
rxn01211_d0,0.0
rxn01211_m0,3.590635115992012e-05
rxn01213_c0,1.9667186475000007e-06
rxn01213_m0,0.0
rxn01217_c0,0.0
rxn01219_c0,0.0
rxn01220_c0,0.0
rxn01225_c0,5.9987291929999644e-05
rxn01226_c0,0.0
rxn01249_c0,0.0
rxn01249_d0,0.0
rxn01253_c0,0.0
rxn01255_d0,0.0011400131010022999
rxn01256_c0,0.0
rxn01256_d0,0.00111526794291695
rxn01257_d0,9.59374950000053e-07
rxn01258_d0,1.5589842937500006e-06
rxn01262_c0,0.0
rxn01263_c0,0.0
rxn01265_c0,-0.006293358461011807
rxn01274_c0,0.026995928022468585
rxn01275_c0,0.0
rxn01297_c0,-5.9987291929999644e-05
rxn01299_c0,0.0
rxn01299_w0,0.0
rxn01300_d0,0.00017434211343088753
rxn01301_d0,-0.000179733
rxn01302_d0,5.3908865691124904e-06
rxn01329_c0,0.0
rxn01332_d0,0.0011400131010022999
rxn01333_d0,0.021273811155565082
rxn01334_c0,0.0
rxn01334_d0,-0.031916667
rxn01345_c0,0.0
rxn01345_d0,0.031916667
rxn01353_c0,0.0
rxn01353_d0,0.0
rxn01353_m0,0.0
rxn01353_n0,0.0
rxn01353_x0,0.0
rxn01362_c0,0.0
rxn01365_c0,0.0
rxn01365_d0,0.0
rxn01365_m0,0.0
rxn01368_c0,2.5145428054730514e-06
rxn01375_d0,0.0
rxn01380_c0,0.0
rxn01383_c0,0.0
rxn01396_c0,0.0
rxn01396_d0,0.0
rxn01399_c0,0.0
rxn01406_c0,0.0
rxn01418_c0,0.0
rxn01423_c0,0.0
rxn01426_c0,0.0
rxn01427_c0,0.0
rxn01429_c0,0.0
rxn01434_d0,7.5075e-05
rxn01444_c0,0.0
rxn01451_c0,0.0
rxn01451_x0,0.0
rxn01452_c0,0.0
rxn01452_r0,0.0
rxn01454_c0,-7.3910035532769515e-06
rxn01455_c0,0.0
rxn01465_c0,0.0
rxn01465_d0,0.0
rxn01466_c0,1.9667186475000007e-06
rxn01471_c0,0.0
rxn01472_c0,0.0
rxn01473_c0,0.0
rxn01476_c0,6.683083324000001e-05
rxn01476_d0,0.00065
rxn01478_c0,0.0
rxn01479_c0,0.0
rxn01483_c0,0.0
rxn01486_d0,1.9667186475000007e-06
rxn01486_m0,0.0
rxn01486_r0,0.0
rxn01489_c0,0.0
rxn01489_d0,0.0
rxn01490_c0,0.0
rxn01490_d0,0.0
rxn01494_c0,0.0
rxn01501_c0,-7.3910035532769515e-06
rxn01501_r0,0.0
rxn01504_c0,0.0
rxn01505_c0,0.0
rxn01508_c0,0.0
rxn01509_c0,0.0
rxn01511_c0,0.0
rxn01511_g0,0.0
rxn01512_c0,0.00016191241729260672
rxn01512_d0,0.0
rxn01512_m0,0.0
rxn01512_n0,0.0
rxn01512_x0,0.0
rxn01513_c0,0.00016191241729260672
rxn01513_m0,0.0
rxn01514_c0,0.0
rxn01514_g0,0.0
rxn01518_c0,0.0
rxn01519_c0,0.00016191241729260672
rxn01520_c0,0.00025793617116210674
rxn01522_c0,0.0
rxn01523_c0,0.0
rxn01527_c0,0.0
rxn01539_c0,-1.5989582500000004e-07
rxn01539_d0,0.0
rxn01545_c0,0.0
rxn01547_c0,0.0
rxn01556_c0,0.0
rxn01556_n0,0.0
rxn01557_c0,0.0
rxn01558_c0,0.0
rxn01559_c0,0.0
rxn01566_c0,0.0
rxn01570_c0,0.0
rxn01571_c0,0.0
rxn01575_c0,0.0
rxn01575_d0,-0.00047500828357720004
rxn01575_m0,0.0
rxn01588_c0,0.0
rxn01590_c0,0.0
rxn01603_m0,9.59374950000053e-07
rxn01607_c0,7.3910035532769515e-06
rxn01611_c0,0.001001107760325
rxn01611_r0,0.0
rxn01612_c0,0.0
rxn01613_c0,0.0
rxn01614_c0,0.0
rxn01626_c0,1.8164165720000098e-06
rxn01626_r0,0.0
rxn01629_c0,0.0
rxn01629_d0,0.0
rxn01636_d0,7.5075e-05
rxn01637_d0,-7.5075e-05
rxn01643_c0,0.0
rxn01643_d0,-0.00026324930879728745
rxn01644_d0,8.89071953663999e-05
rxn01652_c0,1.5989582500000004e-07
rxn01652_d0,0.0
rxn01652_m0,0.0
rxn01653_m0,0.0
rxn01662_c0,0.0
rxn01664_c0,0.0
rxn01664_d0,0.0
rxn01664_m0,0.0
rxn01664_x0,0.0
rxn01670_c0,0.0
rxn01672_c0,-0.0003091302957923989
rxn01673_c0,0.0
rxn01673_d0,0.0
rxn01673_m0,0.0
rxn01673_n0,0.0
rxn01673_x0,0.0
rxn01675_c0,0.0
rxn01678_c0,6.037618248692586e-05
rxn01678_d0,0.0
rxn01678_m0,0.0
rxn01678_n0,0.0
rxn01678_x0,0.0
rxn01682_d0,2.145e-05
rxn01692_c0,0.0
rxn01693_c0,0.0
rxn01712_c0,0.0
rxn01713_c0,0.0
rxn01714_c0,0.0
rxn01718_c0,0.0
rxn01738_c0,-0.0010431176697344154
rxn01739_d0,0.0011400131010022999
rxn01740_d0,-0.0011400131010022999
rxn01743_c0,0.0
rxn01746_c0,0.0
rxn01747_c0,0.0
rxn01758_c0,0.0
rxn01758_d0,0.0
rxn01758_m0,0.0
rxn01758_x0,0.0
rxn01765_r0,0.0
rxn01767_c0,0.0
rxn01768_c0,0.0
rxn01769_c0,0.0
rxn01769_n0,0.0
rxn01769_r0,0.0
rxn01782_c0,0.0
rxn01782_n0,0.0
rxn01790_c0,-1.8164165720000098e-06
rxn01791_c0,1.8164165720000098e-06
rxn01800_c0,0.0
rxn01807_c0,0.0
rxn01807_d0,0.0
rxn01815_c0,-0.0003750315224940624
rxn01825_c0,0.0
rxn01827_c0,0.0
rxn01827_d0,2.4783852875e-07
rxn01832_c0,0.0
rxn01832_d0,0.0
rxn01834_c0,-0.026995928022468585
rxn01850_c0,0.0
rxn01851_x0,0.0
rxn01867_x0,0.0
rxn01887_c0,0.0
rxn01887_w0,0.0
rxn01888_c0,0.0
rxn01889_c0,0.0
rxn01902_c0,0.0
rxn01907_c0,0.0
rxn01908_c0,0.0
rxn01909_c0,0.0
rxn01917_d0,7.5075e-05
rxn01924_m0,0.0
rxn01961_c0,0.0
rxn01964_c0,0.0
rxn01964_d0,7.767988415999766e-07
rxn01965_c0,0.0
rxn01967_c0,0.0
rxn01974_d0,8.89071953663999e-05
rxn01975_c0,5.42e-05
rxn01975_d0,0.0004875
rxn01977_c0,-1.2630833240000007e-05
rxn01977_d0,-0.02062020868968979
rxn01977_m0,0.0
rxn01977_x0,0.0
rxn01997_c0,0.0
rxn02004_c0,0.0
rxn02004_m0,0.0
rxn02004_n0,0.0
rxn02004_x0,0.0
rxn02035_c0,0.0
rxn02056_d0,0.0
rxn02061_c0,0.0
rxn02062_c0,0.0
rxn02062_r0,0.0
rxn02063_c0,0.0
rxn02133_c0,0.0
rxn02134_r0,0.0
rxn02155_c0,0.006294445752621807
rxn02157_c0,0.0
rxn02158_c0,0.0
rxn02159_d0,3.51924314992e-05
rxn02160_d0,3.51924314992e-05
rxn02166_c0,0.0
rxn02167_c0,0.0
rxn02167_x0,0.0
rxn02169_c0,0.0
rxn02175_c0,2.1745832200000957e-07
rxn02189_c0,0.0
rxn02190_c0,0.0
rxn02201_c0,0.0
rxn02201_m0,9.59374950000053e-07
rxn02212_d0,0.0011400131010022999
rxn02213_d0,0.0011400131010022999
rxn02219_c0,0.0
rxn02219_n0,0.0
rxn02220_c0,0.0
rxn02222_c0,0.0
rxn02222_n0,0.0
rxn02226_c0,0.0
rxn02230_c0,0.0
rxn02230_m0,0.0
rxn02230_n0,0.0
rxn02238_c0,0.0
rxn02239_c0,0.0
rxn02241_c0,0.0
rxn02250_c0,0.0
rxn02251_d0,0.0004
rxn02262_c0,0.0
rxn02264_c0,0.0
rxn02264_d0,0.0
rxn02265_c0,0.0
rxn02265_d0,0.0
rxn02265_m0,0.0
rxn02265_x0,0.0
rxn02269_d0,0.0
rxn02269_m0,0.0
rxn02276_c0,0.0
rxn02277_m0,1.5989582500000004e-07
rxn02280_c0,0.0
rxn02280_d0,0.0
rxn02280_m0,0.0
rxn02280_x0,0.0
rxn02288_c0,0.0
rxn02288_d0,0.0
rxn02290_c0,0.0
rxn02291_c0,0.0
rxn02297_c0,1.5989582500000004e-07
rxn02299_c0,0.0
rxn02300_c0,0.0
rxn02302_c0,0.0
rxn02303_c0,0.0
rxn02303_d0,0.0
rxn02304_c0,-8.909900870838384e-05
rxn02304_d0,0.0
rxn02305_d0,1.5989582500000004e-07
rxn02312_m0,1.5989582500000004e-07
rxn02320_d0,-3.51924314992e-05
rxn02322_c0,7.3910035532769515e-06
rxn02322_x0,0.0
rxn02331_c0,0.0
rxn02337_c0,0.0
rxn02341_c0,1.8164165720000098e-06
rxn02354_c0,0.0
rxn02373_c0,-5.9e-05
rxn02373_d0,0.0
rxn02374_c0,0.0
rxn02374_d0,0.0
rxn02374_m0,0.0
rxn02374_v0,0.0
rxn02374_x0,0.0
rxn02380_c0,0.0
rxn02380_d0,-0.021273811155565082
rxn02382_c0,0.0
rxn02401_c0,0.0
rxn02402_c0,-1.087291610000346e-06
rxn02402_d0,0.0
rxn02404_c0,0.0
rxn02405_c0,0.0
rxn02405_m0,0.0
rxn02414_c0,0.00012152082700000002
rxn02417_c0,0.0
rxn02417_w0,0.0
rxn02418_c0,0.0
rxn02421_c0,0.0
rxn02435_c0,0.0
rxn02435_n0,0.0
rxn02441_c0,0.0
rxn02441_x0,0.0
rxn02442_c0,0.0
rxn02442_d0,0.0
rxn02451_c0,0.0
rxn02456_c0,0.0
rxn02456_n0,0.0
rxn02457_c0,0.0
rxn02457_n0,0.0
rxn02458_c0,0.0
rxn02465_d0,-7.5075e-05
rxn02472_c0,0.0
rxn02473_d0,3.51924314992e-05
rxn02474_c0,-2.23854155e-06
rxn02474_d0,0.0
rxn02475_c0,2.23854155e-06
rxn02475_d0,0.0
rxn02476_d0,0.0011400131010022999
rxn02484_d0,0.0
rxn02489_c0,0.0
rxn02489_n0,0.0
rxn02490_c0,0.0
rxn02490_n0,0.0
rxn02503_c0,0.0
rxn02503_m0,9.59374950000053e-07
rxn02504_c0,9.59374950000053e-07
rxn02507_d0,2.2226798841599976e-05
rxn02508_d0,2.2226798841599976e-05
rxn02516_m0,0.0
rxn02528_c0,0.0
rxn02528_d0,0.0
rxn02529_c0,0.0
rxn02549_d0,0.0
rxn02554_c0,0.0
rxn02554_r0,0.0
rxn02561_c0,0.0
rxn02564_c0,0.0
rxn02575_c0,0.0
rxn02590_d0,0.0
rxn02598_c0,0.0
rxn02601_c0,0.0
rxn02602_c0,0.0
rxn02609_c0,0.0
rxn02609_d0,0.0
rxn02609_m0,0.0
rxn02609_x0,0.0
rxn02611_c0,0.0
rxn02611_d0,0.0
rxn02611_m0,0.0
rxn02611_x0,0.0
rxn02634_c0,0.0
rxn02677_c0,0.0
rxn02697_c0,0.0
rxn02699_c0,0.0
rxn02733_d0,0.0
rxn02735_c0,0.0
rxn02746_c0,0.0
rxn02746_d0,0.0
rxn02746_m0,0.0
rxn02746_x0,0.0
rxn02752_c0,0.0
rxn02752_x0,0.0
rxn02758_c0,0.0
rxn02758_w0,0.0
rxn02774_c0,0.0
rxn02789_d0,0.00015929205836479992
rxn02811_d0,-0.00015929205836479992
rxn02814_c0,0.0
rxn02814_w0,0.0
rxn02823_c0,0.0
rxn02823_n0,0.0
rxn02831_c0,0.0
rxn02831_d0,0.0
rxn02831_x0,0.0
rxn02832_d0,-1.5589842937500006e-06
rxn02834_d0,3.51924314992e-05
rxn02835_d0,3.51924314992e-05
rxn02836_d0,0.0
rxn02836_m0,0.0
rxn02866_m0,0.0
rxn02889_m0,0.0
rxn02894_c0,0.0
rxn02895_d0,8.199440396627005e-05
rxn02909_c0,0.0
rxn02914_d0,-0.000203775
rxn02916_c0,0.0
rxn02916_d0,0.0
rxn02916_m0,0.0
rxn02916_x0,0.0
rxn02926_c0,0.0
rxn02928_d0,6.97e-05
rxn02929_d0,6.97e-05
rxn02933_c0,0.0
rxn02934_c0,0.0
rxn02937_d0,8.199440396627005e-05
rxn02938_d0,-8.183450814127004e-05
rxn02945_c0,0.0
rxn02945_d0,0.0
rxn02959_c0,0.0
rxn02959_d0,0.0
rxn02977_c0,0.0
rxn02979_c0,0.0
rxn02988_c0,-1.087291610000346e-06
rxn02988_d0,0.0
rxn03004_d0,-8.128048430554994e-05
rxn03012_c0,0.0
rxn03012_d0,0.0
rxn03012_m0,0.0
rxn03012_x0,0.0
rxn03016_c0,0.0
rxn03016_r0,0.0
rxn03017_c0,0.0
rxn03017_d0,0.0
rxn03057_c0,0.0
rxn03062_d0,0.00015929205836479992
rxn03070_c0,0.0
rxn03070_d0,0.0
rxn03070_m0,0.0
rxn03070_x0,0.0
rxn03075_c0,0.0
rxn03080_c0,4.4770831e-06
rxn03080_d0,0.0
rxn03084_d0,8.199440396627005e-05
rxn03084_m0,0.0
rxn03093_c0,0.0
