,Sort,Name,Original,PDV,PDV-V2,Maize-Expanded,M-MiscBiomass,M-ExpEnergy,M-ModifiedPDV,SimpleThermo
R2,1100,,0.9149991997528898,,,0.8432344380793084,0.9955348865384204,0.9947091764783448,0.8144446376939521,0.8306030382857513
rxn00974_m0,1000,citrate hydro-lyase (cis-aconitate-forming),0.005333333,0.005333333,5.333333333,0.005333333,0.005333333,0.005333333,0.005333333333,0.005333333333
rxn00791_d0,1000,N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase,-2.2226798841599976e-05,2.145e-05,0.02145,-2.2226798841599976e-05,-2.2226798841599976e-05,-2.2226798841599976e-05,-0.0002524767868416,-0.0002524767868416
rxn00799_m0,1000,(S)-malate hydro-lyase (fumarate-forming),-0.005333333,0.005333333,5.333333333,-0.005333333,-0.005333333,-0.005333333,-0.0056221430324391,-0.0056221430324391
rxn00806_d0,1000,L-Leucine:2-oxoglutarate aminotransferase,-0.0001592920583647,9.17e-05,0.09920625,-0.0001592920583647,-0.0001592920583647,-0.0001592920583647,-0.0002642403639652,-0.0002642403639652
rxn00863_d0,1000,L-histidinal:NAD+ oxidoreductase,3.51924314992e-05,4.02e-05,0.04021875,3.51924314992e-05,3.51924314992e-05,3.51924314992e-05,4.021874999999999e-05,4.0218750000000026e-05
rxn00902_d0,1000,"acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)",-0.0001592920583647,9.92e-05,0.09920625,-0.0001592920583647,-0.0001592920583647,-0.0001592920583647,-0.0002642403639652,-0.0002642403639652
rxn00903_d0,1000,L-Valine:2-oxoglutarate aminotransferase,-0.0001194332271087,7.19e-05,0.07775625,-0.0001194332271087,-0.0001194332271087,-0.0001194332271088,-0.0002840488924565,-0.0002840488924565
rxn00908_m0,1000,glycine synthase,6.862708481250384e-05,0.0005,1.0,6.874643034977552e-05,6.87464303497022e-05,6.862708481248671e-05,-0.0001257153390592,0.0003785350391976
rxn00929_d0,1000,L-Proline:NAD+ 5-oxidoreductase,-5.9000000000000025e-05,5.9e-05,0.0589875,-5.9e-05,-5.9e-05,-5.9e-05,-5.898749999999999e-05,-5.89875e-05
rxn00931_d0,1000,L-Proline:NADP+ 5-oxidoreductase,-5.9000000000000025e-05,5.9e-05,0.0589875,-5.9e-05,-5.9e-05,-5.9e-05,-5.898749999999999e-05,-5.898749999999999e-05
rxn00980_d0,1000,2-Phosphoglycolate phosphohydrolase,0.0004266526786714,0.0005,1.0,0.0004266526786714,0.0004266526786714,0.0004266526786714,0.0008552241072428,0.0008552241072428
rxn00782_d0,1000,D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase (phosphorylating),-0.0112849397000126,0.031916667,63.8,-0.0023404189666788,-0.031916667,-0.031916667,-0.0851629365664797,-0.0851629365664797
rxn01011_x0,1000,D-Glycerate:NAD+ 2-oxidoreductase,0.0005,0.0005,1.0,0.0005,0.0005,0.0005,0.0011444048497195,0.0011444048497195
rxn01019_d0,1000,Carbamoyl-phosphate:L-ornithine carbamoyltransferase,7.5075e-05,7.5075e-05,0.075075,7.5075e-05,7.5075e-05,7.5075e-05,0.0,0.0
rxn01069_d0,1000,O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming),0.0001279342689745,0.00015015,0.15015,0.0001279342689745,0.0001279342689745,0.0001279342689745,0.0,0.0
rxn01100_c0,1000,ATP:3-phospho-D-glycerate 1-phosphotransferase,0.002125,0.002125,3.19,0.002125,0.002125,0.002125,0.0033344048497195,0.0033344048497195
