,Name,Mature_leaf_flux,Mature_leaf_vfit
rxn00001_c0,diphosphate phosphohydrolase,0.0033446081842561904,
rxn00001_d0,diphosphate phosphohydrolase,0.04303126007183844,
rxn00001_g0,diphosphate phosphohydrolase,0.0,
rxn00001_v0,diphosphate phosphohydrolase,0.0,
rxn00001_w0,diphosphate phosphohydrolase,0.0,
rxn00006_c0,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,0.0,
rxn00006_x0,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,0.020537846826304128,
rxn00018_d0,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)",0.031703340660664284,0.0002133263393357201
rxn00029_c0,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),0.0,
rxn00029_d0,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),0.00017076874110000001,
rxn00046_c0,1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase,0.0,
rxn00048_c0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",2.23854155e-06,
rxn00048_d0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",0.0,
rxn00055_c0,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,0.0,
rxn00060_c0,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing),0.0,
rxn00060_d0,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing),4.2692185275000004e-05,
rxn00069_d0,L-glutamate:NAD+ oxidoreductase (transaminating),0.001666667,0.0
rxn00076_c0,NAD+ phosphohydrolase,0.0,
rxn00076_d0,NAD+ phosphohydrolase,0.0,
rxn00077_c0,ATP:NAD+ 2'-phosphotransferase,0.0,
rxn00077_d0,ATP:NAD+ 2'-phosphotransferase,0.0,
rxn00078_c0,ATP:NADH 2'-phosphotransferase,3.677603974989053e-07,
rxn00078_x0,ATP:NADH 2'-phosphotransferase,0.0,
rxn00083_c0,NADPH:NAD+ oxidoreductase,0.09481422351456469,
rxn00086_c0,glutathione:NADP+ oxidoreductase,0.0,
rxn00086_d0,glutathione:NADP+ oxidoreductase,-0.040780823994051835,
rxn00086_m0,glutathione:NADP+ oxidoreductase,0.0,
rxn00088_c0,NADP+ 2'-phosphohydrolase,0.0,
rxn00092_g0,ADP phosphohydrolase,0.0,
rxn00097_c0,ATP:AMP phosphotransferase,0.04180535447430439,
rxn00097_d0,ATP:AMP phosphotransferase,0.0,
rxn00097_m0,ATP:AMP phosphotransferase,6.715624650000039e-06,
rxn00097_n0,ATP:AMP phosphotransferase,0.0,
rxn00100_c0,ATP:dephospho-CoA 3'-phosphotransferase,2.1745832199923708e-07,
rxn00100_x0,ATP:dephospho-CoA 3'-phosphotransferase,0.0,
rxn00101_c0,Urea amidohydrolase,0.0056277464919209826,
rxn00102_c0,carbonate hydro-lyase (carbon-dioxide-forming),0.0,
rxn00102_d0,carbonate hydro-lyase (carbon-dioxide-forming),-0.005941643413374646,
rxn00105_c0,ATP:nicotinamide-nucleotide adenylyltransferase,1.247187435000346e-06,
rxn00113_c0,"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)",0.0,
rxn00114_d0,ATP:carbamate phosphotransferase,0.0,
rxn00116_c0,UDP phosphohydrolase,0.0,
rxn00116_g0,UDP phosphohydrolase,0.0,
rxn00117_c0,ATP:UDP phosphotransferase,0.001021177873620667,
rxn00117_d0,ATP:UDP phosphotransferase,0.0011253299416948293,
rxn00117_m0,ATP:UDP phosphotransferase,0.0,
rxn00117_n0,ATP:UDP phosphotransferase,0.0,
rxn00117_x0,ATP:UDP phosphotransferase,0.0,
rxn00119_c0,ATP:UMP phosphotransferase,2.0026699519989054e-06,
rxn00120_c0,UTP phosphohydrolase,0.0,
rxn00120_g0,UTP phosphohydrolase,0.0,
rxn00121_c0,FAD nucleotidohydrolase,0.0,
rxn00121_d0,FAD nucleotidohydrolase,0.0,
rxn00122_c0,ATP:FMN adenylyltransferase,1.119270775e-06,
rxn00122_d0,ATP:FMN adenylyltransferase,0.0,
rxn00123_c0,pyridoxal-5'-phosphate phosphohydrolase,0.0,
rxn00124_c0,ATP:pyridoxal 5'-phosphotransferase,0.0,
rxn00124_d0,ATP:pyridoxal 5'-phosphotransferase,0.0,
rxn00126_c0,ATP:L-methionine S-adenosyltransferase,0.00016871088183225002,
rxn00126_n0,ATP:L-methionine S-adenosyltransferase,0.0,
rxn00127_c0,S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming],0.0,
rxn00128_c0,S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming),0.0,
rxn00130_c0,AMP aminohydrolase,2.1598448128720498e-05,
rxn00134_c0,ATP:adenosine 5'-phosphotransferase,0.0001676827516775,
rxn00138_c0,deamido-NAD+:ammonia ligase (AMP-forming),0.0,
rxn00139_c0,AMP:diphosphate phospho-D-ribosyltransferase,0.0,
rxn00141_c0,S-Adenosyl-L-homocysteine hydrolase,0.0001672030642025,
rxn00146_m0,(R)-Lactate:ferricytochrome-c 2-oxidoreductase,0.0,
rxn00147_c0,"ATP:pyruvate,water phosphotransferase",0.0,
rxn00148_c0,ATP:pyruvate 2-O-phosphotransferase,0.002125,0.0
rxn00148_d0,ATP:pyruvate 2-O-phosphotransferase,0.0,
rxn00149_c0,pyruvaldehyde:NAD+ oxidoreductase,0.0,
rxn00151_d0,"ATP:pyruvate,phosphate phosphotransferase",0.0,
rxn00153_c0,Phosphoenolpyruvate phosphohydrolase,0.028641353298595393,
rxn00154_d0,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),0.013406973823086156,
rxn00154_m0,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),0.005333333,0.0
rxn00159_m0,(S)-malate:NAD+ oxidoreductase (decarboxylating),0.005333173104175,
rxn00161_c0,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),-0.011476957008053672,
rxn00161_d0,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),0.031916667,0.0
rxn00166_c0,D-serine ammonia-lyase,0.0,
rxn00168_c0,pyruvate carboxy-lyase (acetaldehyde-forming),0.00037650152249406234,
rxn00175_d0,Acetate:CoA ligase (AMP-forming),5.9e-05,
rxn00178_c0,Acetyl-CoA:acetyl-CoA C-acetyltransferase,0.00088357633415875,
rxn00178_x0,Acetyl-CoA:acetyl-CoA C-acetyltransferase,0.0,
rxn00179_c0,ATP:L-glutamate 5-phosphotransferase,5.9e-05,0.0
rxn00179_d0,ATP:L-glutamate 5-phosphotransferase,0.000118,
rxn00183_m0,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase,-0.0005917244083186323,
rxn00184_c0,L-Glutamate:NADP+ oxidoreductase (deaminating),-0.012411202732669982,
rxn00187_c0,L-Glutamate:ammonia ligase (ADP-forming),0.0005,0.0
rxn00187_d0,L-Glutamate:ammonia ligase (ADP-forming),0.001666667,0.0
rxn00187_m0,L-Glutamate:ammonia ligase (ADP-forming),0.0,
rxn00189_c0,L-Glutamine amidohydrolase,0.004317199112835786,
rxn00190_c0,Deamido-NAD+:L-glutamine amido-ligase (AMP-forming),0.0,
rxn00191_c0,L-Alanine:2-oxoglutarate aminotransferase,-0.015049415099026717,
rxn00191_d0,L-Alanine:2-oxoglutarate aminotransferase,0.014232763172197222,
rxn00191_m0,L-Alanine:2-oxoglutarate aminotransferase,0.0,
rxn00191_x0,L-Alanine:2-oxoglutarate aminotransferase,0.0,
rxn00192_d0,acetyl-CoA:L-glutamate N-acetyltransferase,0.0,
rxn00194_c0,L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming),0.0,
rxn00208_c0,Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating),0.0,
rxn00208_d0,Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating),0.0,
rxn00209_c0,Pyridoxine 5-phosphate:oxygen oxidoreductase,0.0,
rxn00209_d0,Pyridoxine 5-phosphate:oxygen oxidoreductase,0.0,
rxn00211_c0,UDP-glucose:NAD+ 6-oxidoreductase,0.0,
rxn00213_c0,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,0.0,
rxn00213_d0,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,0.0011469158780698294,
rxn00214_c0,UDP-glucose 4-epimerase,0.003974068312356371,
rxn00215_c0,"UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)",0.0,
rxn00216_c0,ATP:D-glucose 6-phosphotransferase,0.0,
rxn00216_d0,ATP:D-glucose 6-phosphotransferase,0.0,
rxn00216_m0,ATP:D-glucose 6-phosphotransferase,0.0,
rxn00224_c0,protoheme ferro-lyase (protoporphyrin-forming),0.0,
rxn00224_d0,protoheme ferro-lyase (protoporphyrin-forming),0.0,
rxn00237_c0,ATP:GDP phosphotransferase,0.00014911953651595232,
rxn00237_d0,ATP:GDP phosphotransferase,0.0,
rxn00237_m0,ATP:GDP phosphotransferase,0.0,
rxn00237_n0,ATP:GDP phosphotransferase,0.0,
rxn00237_x0,ATP:GDP phosphotransferase,0.0,
rxn00239_c0,ATP:GMP phosphotransferase,0.00014911953651595232,
rxn00247_c0,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming),0.0,
rxn00247_n0,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming),0.0,
rxn00248_c0,(S)-malate:NAD+ oxidoreductase,0.0,
rxn00248_d0,(S)-malate:NAD+ oxidoreductase,0.011917795552803673,
rxn00248_m0,(S)-malate:NAD+ oxidoreductase,1.5989582499969374e-07,0.0
rxn00248_x0,(S)-malate:NAD+ oxidoreductase,-0.0005,
rxn00249_d0,(S)-malate:NADP+ oxidoreductase,0.0,
rxn00256_m0,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),-0.009523111999622753,
rxn00256_x0,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),0.0,
rxn00257_c0,"acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]",0.0,
rxn00260_c0,L-Aspartate:2-oxoglutarate aminotransferase,0.0,
rxn00260_d0,L-Aspartate:2-oxoglutarate aminotransferase,-0.0033422243501094856,
rxn00260_m0,L-Aspartate:2-oxoglutarate aminotransferase,0.0007884220406285669,
rxn00260_x0,L-Aspartate:2-oxoglutarate aminotransferase,0.0005,
rxn00272_d0,L-Alanine:glyoxylate aminotransferase,0.0002186674485380318,
rxn00272_m0,L-Alanine:glyoxylate aminotransferase,1.5989582500000004e-07,
