,Name,Mature_leaf_flux,Mature_leaf_vfit
rxn00001_c0,diphosphate phosphohydrolase,0.0,
rxn00001_d0,diphosphate phosphohydrolase,0.0,
rxn00001_g0,diphosphate phosphohydrolase,0.0,
rxn00001_v0,diphosphate phosphohydrolase,0.0,
rxn00001_w0,diphosphate phosphohydrolase,0.0,
rxn00006_c0,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,2.4791865058659823e-06,
rxn00006_x0,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,7.790580368657288,
rxn00018_d0,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)",43.66231272455916,6.337687275440842
rxn00029_c0,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),0.0,
rxn00029_d0,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),0.0007612560899999999,
rxn00046_c0,1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase,0.0,
rxn00048_c0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",0.0,
rxn00048_d0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",1.4583449999999998e-06,5.624985e-06
rxn00055_c0,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,0.0,
rxn00060_c0,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing),0.0,
rxn00060_d0,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing),0.00019031402249999999,0.013143018977499999
rxn00062_c0,ATP phosphohydrolase,0.0,
rxn00062_w0,ATP phosphohydrolase,0.0,
rxn00062_x0,ATP phosphohydrolase,0.0,
rxn00068_c0,Fe2+:NAD+ oxidoreductase,0.0,
rxn00068_d0,Fe2+:NAD+ oxidoreductase,0.0,
rxn00069_d0,L-glutamate:NAD+ oxidoreductase (transaminating),0.30683557290733066,0.0
rxn00071_c0,NADH:monodehydroascorbate oxidoreductase,0.0,
rxn00071_x0,NADH:monodehydroascorbate oxidoreductase,0.0,
rxn00076_c0,NAD+ phosphohydrolase,0.0,
rxn00076_d0,NAD+ phosphohydrolase,0.0,
rxn00077_c0,ATP:NAD+ 2'-phosphotransferase,0.0,
rxn00077_d0,ATP:NAD+ 2'-phosphotransferase,1.6770967476986698e-06,
rxn00078_c0,ATP:NADH 2'-phosphotransferase,0.0,
